"const","wgt","female","age","haschld","educ","educ.m","educ.f","currjob","mosinjob","yr_work1","earn_yr","white","partnered","evarrst","p_inc","hh_inc","R.educ.m","R.educ.f","R.hh_inc","I.educ.m","I.educ.f","I.hh_inc"
1,6.467032,1,17.13699,0,10,11.6782056064526,11,1,8.94463263694494,1,1.37216214797538,0,0,0,0,0,0,1,0,0,11,0
1,12.49659,0,19.04383,1,9,15,16.5054603746257,0,1.25,1,-0.431381156194765,0,0,0,0,0,1,0,0,15,0,0
1,9.307692,1,17.7452,0,10,11,12.9938660286195,0,6,1,-0.115488442041121,0,0,0,0,0,1,0,0,11,0,0
1,9.307692,1,16.09863,1,7,12,14.4831028790537,0,1,1,-0.523591316363194,0,0,0,0,0,1,0,0,12,0,0
1,6.467032,0,16,0,9.57808699125518,11.2360988460848,13.8991297044352,0,0,0,-0.683781229648494,0,0,0,0,0,0,0,0,0,0,0
1,9.307692,0,15.99452,0,8,11,12,0,3.75,1,0.214538676225933,1,0,1,0,1,1,1,0,11,12,0
1,9.307692,1,18.46575,1,10,11,17,0,3.5,1,0.125245139128525,1,0,1,0,1,1,1,0,11,17,0
1,6.467032,1,18.80274,1,8,12,11.9999944792929,0,4.75,1,-0.258851683762838,0,0,0,0,0,1,0,1,12,0,0
1,9.307692,0,16.4411,0,11,12,12,0,0.5,1,-0.629935880645032,0,0,1,0,0,1,1,1,12,12,0
1,12.49659,0,16.05754,0,8,8.38440321039317,10.4732238519343,0,0,0,-0.683781229648494,0,0,1,0,0,0,0,1,0,0,0
1,9.307692,0,18.09041,0,10,12,11.1619829800097,0,5.75,1,0.371811966440212,1,0,1,0,0,1,0,1,12,0,0
1,9.307692,0,16.01096,0,8,12,12,0,0,0,-0.683781229648494,0,0,0,0,0,1,1,1,12,12,0
1,9.307692,0,17.68219,0,10,15,15.4250593997653,1,3.75,1,-0.104943727861276,0,0,1,0,1,1,0,0,15,0,0
1,9.307692,0,24.23836,1,10,12.0566600807299,5.40940267468673,0,4.5,1,0.588763851799994,1,0,1,0,0,0,0,0,0,0,0
1,12.49659,0,16.50685,0,10,11,12,0,2.75,1,0.856195751850523,1,0,0,0,1,1,1,1,11,12,1
1,9.307692,0,16.29863,0,9,12,12.7121763916639,0,3.25,1,-0.24993354783414,0,0,1,0,1,1,0,1,12,0,1
1,12.49659,0,18.09315,0,10,9.70169959143526,12,1,3.55539109600079,1,-0.683781229648494,0,0,0,0,0,0,1,1,0,12,0
1,12.49659,1,17.25753,1,10,8.99703678551483,12.8546950400908,0,0,0,-0.683781229648494,0,0,1,0,1,0,0,0,0,0,0
1,12.49659,0,16.23836,0,7,10.4661871817774,12,0,0,0,-0.683781229648494,0,0,0,0,0,0,1,0,0,12,0
1,9.307692,1,17.44384,0,10,11,7.95919136271692,0,0,0,-0.683781229648494,0,0,0,0,1,1,0,0,11,0,0
1,9.307692,0,23.52603,0,12,12,12,0,0.75,1,-0.629935880645032,1,0,0,0,0,1,1,1,12,12,0
